count,Site,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Dwarf Scrub,Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Sedge/Herbaceous,Shrub/Scrub,Woody Wetlands,all_developed
490,D04_GUAN_C1_P1_v1,0,0,0,0.3506888531043121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3506888531043121
1113,D10_RMNP_R2_P1_v1,0,0,0,0,0.34840369752423644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34840369752423644
954,D16_ABBY_R2_P1_v1,0,0,0,0,0.32082324455205813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32082324455205813
730,D15_ONAQ_C1_P1_v2,0,0,0,0,0,0,0.2583567800959105,0,0,0,0,0,0,0,0,0,0,0,0.2583567800959105
1580,D09_WOOD_DCFS_C1_P1_v2,0,0,0,0,0.25054906718045084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25054906718045084
699,D15_ONAQ_C1_P1_v2,0,0,0,0,0.24738546477676912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24738546477676912
476,D03_DSNY_R1_P1_v1,0,0,0,0.2409187304190265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2409187304190265
1442,D19_HEAL_R3_P1_v1,0,0,0,0,0,0,0.2257604934792479,0,0,0,0,0,0,0,0,0,0,0,0.2257604934792479
398,D13_MOAB_R1_P1_v2,0,0,0,0,0.220347240676765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220347240676765
545,D03_OSBS_C1_P1_v1,0,0,0,0,0,0.22022070559522222,0,0,0,0,0,0,0,0,0,0,0,0,0.22022070559522222
425,D01_BART_R1_P1_v1,0,0,0,0,0,0.1974035625537054,0,0,0,0,0,0,0,0,0,0,0,0,0.1974035625537054
1081,D01_HARV_C1_P1_v1,0,0,0,0,0,0.19065995505998468,0,0,0,0,0,0,0,0,0,0,0,0,0.19065995505998468
1951,D19_DEJU_R1_P1_v2,0,0,0,0,0,0,0.18482397198178474,0,0,0,0,0,0,0,0,0,0,0,0.18482397198178474
1108,D07_GRSM_R1_P1_all_v1,0,0,0,0,0,0.1579463552595566,0,0,0,0,0,0,0,0,0,0,0,0,0.1579463552595566
364,D02_BLAN_R2_P1_v1,0,0,0,0,0,0.15705225007550588,0,0,0,0,0,0,0,0,0,0,0,0,0.15705225007550588
554,D11_OAES_R1_P1_v2,0,0,0,0,0,0.1553622408058645,0,0,0,0,0,0,0,0,0,0,0,0,0.1553622408058645
301,D11_CLBJ_C1_P1_v2,0,0,0,0,0,0.146038523118723,0,0,0,0,0,0,0,0,0,0,0,0,0.146038523118723
1016,D07_GRSM_R1_P1_all_v1,0,0,0,0,0.1448316759419761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1448316759419761
251,D17_SJER_C1_P1_v2,0,0,0,0,0.143655958288262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143655958288262
49,D01_HOPB_C1_P2_v1,0,0,0,0,0,0.12384996461429583,0,0,0,0,0,0,0,0,0,0,0,0,0.12384996461429583
232,D10_STER_R1_P1,0,0,0,0,0.1209322206179011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209322206179011
